"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L172","_logger","speech_to_text.speech_to_text._logger~At","L168","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\speech_to_text.py","9","1","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L173","_recognizer","speech_to_text.speech_to_text._recognizer~At","L168","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\speech_to_text.py","10","1","10","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","parser","text_to_speech.audio_profile.parser~At","L184","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\audio_profile.py","40","5","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","args","text_to_speech.audio_profile.args~At","L184","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\audio_profile.py","50","5","50","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","parser","text_to_speech.synthesize_file.parser~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","14","5","14","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","group","text_to_speech.synthesize_file.group~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","17","5","17","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L209","args","text_to_speech.synthesize_file.args~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","23","5","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","client","text_to_speech.synthesize_file.client~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","28","9","28","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","text","text_to_speech.synthesize_file.text~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","31","13","31","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","input_text","text_to_speech.synthesize_file.input_text~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","32","13","32","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L213","voice","text_to_speech.synthesize_file.voice~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","36","9","36","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","audio_config","text_to_speech.synthesize_file.audio_config~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","40","9","40","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","response","text_to_speech.synthesize_file.response~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","43","9","43","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","ssml","text_to_speech.synthesize_file.ssml~At","L203","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","59","13","59","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","parser","text_to_speech.synthesize_text.parser~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","15","5","15","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L222","group","text_to_speech.synthesize_text.group~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","18","5","18","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","args","text_to_speech.synthesize_text.args~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","24","5","24","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L224","client","text_to_speech.synthesize_text.client~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","26","5","26","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L225","response","text_to_speech.synthesize_text.response~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","27","5","27","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L226","input_text","text_to_speech.synthesize_text.input_text~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","31","9","31","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","voice","text_to_speech.synthesize_text.voice~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","35","9","35","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L228","audio_config","text_to_speech.synthesize_text.audio_config~At","L217","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_text.py","39","9","39","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L319","External","vocabulary_importers.vocabulary_importer.VocabularyImportMode.External~At","L316","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer.py","28","5","28","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L320","ExternalIntersectDataset","vocabulary_importers.vocabulary_importer.VocabularyImportMode.ExternalIntersectDataset~At","L316","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer.py","29","5","29","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
