"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","CD","CLOC","DLOC","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NLA","NLM","NM","NOS","TLLOC","TLOC","TNA","TNLA","TNLM","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Inheritance Metric Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L116","CornellDatasetReader","dataset_readers.cornell_dataset_reader.CornellDatasetReader~Cl","L112","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\cornell_dataset_reader.py","8","1","48","41","0","0","0","0","0","0","0","0","2","2","2","5","0","0","0","0","2","0.318182","14","11","0.318182","14","0","0","0","0","0","30","41","0","0","2","2","18","30","41","0","0","2","2","18","0","1","0","1","10","1","1","0","0","0","0","1","0","0","7","0","0","0","0","1","0","0","0","0","0","0","0","1"
"L135","CSVDatasetReader","dataset_readers.csv_dataset_reader.CSVDatasetReader~Cl","L131","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\csv_dataset_reader.py","10","1","46","41","0","0","0","0","0","0","0","0","2","2","2","5","0","0","0","0","2","0.317073","13","10","0.317073","13","0","0","0","0","0","28","37","0","0","2","2","17","28","37","0","0","2","2","17","0","1","0","0","7","1","1","0","0","0","0","1","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L246","CheckpointVocabularyImporter","vocabulary_importers.checkpoint_vocabulary_importer.CheckpointVocabularyImporter~Cl","L242","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\checkpoint_vocabulary_importer.py","10","1","53","37","0","0","0","0","0","0","0","0","2","3","3","4","0","0","0","0","2","0.346154","18","16","0.346154","18","0","0","0","0","0","34","44","0","0","2","2","17","34","44","0","0","2","2","17","0","0","0","2","7","0","1","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L265","DependencyBasedVocabularyImporter","vocabulary_importers.dependency_based_vocabulary_importer.DependencyBasedVocabularyImporter~Cl","L261","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\dependency_based_vocabulary_importer.py","12","1","43","20","0","0","0","0","0","0","0","0","2","5","1","7","0","0","0","0","2","0.341463","14","14","0.341463","14","0","0","0","0","0","27","32","0","0","2","2","12","27","32","0","0","2","2","12","0","0","0","0","4","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","FlatFileVocabularyImporter","vocabulary_importers.flatfile_vocabulary_importer.FlatFileVocabularyImporter~Cl","L277","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\flatfile_vocabulary_importer.py","10","1","55","37","0","0","0","0","0","0","0","0","2","3","3","4","0","0","0","0","2","0.440678","26","22","0.440678","26","0","0","0","0","0","33","46","0","0","2","2","13","33","46","0","0","2","2","13","0","0","0","2","10","0","1","0","0","0","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L300","NnlmEnVocabularyImporter","vocabulary_importers.nnlm_en_vocabulary_importer.NnlmEnVocabularyImporter~Cl","L296","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\nnlm_en_vocabulary_importer.py","12","1","41","20","0","0","0","0","0","0","0","0","2","4","1","6","0","0","0","0","2","0.358974","14","14","0.358974","14","0","0","0","0","0","25","30","0","0","2","2","10","25","30","0","0","2","2","10","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","VocabularyImportMode","vocabulary_importers.vocabulary_importer.VocabularyImportMode~Cl","L312","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer.py","11","1","31","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.761905","16","16","0.761905","16","0","0","0","0","0","5","21","4","4","0","0","0","5","21","4","4","0","0","0","0","0","0","1","12","0","1","0","0","0","0","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L323","VocabularyImportStats","vocabulary_importers.vocabulary_importer.VocabularyImportStats~Cl","L312","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer.py","34","1","45","37","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0.4","6","6","0.4","6","0","0","0","0","0","9","12","0","0","1","1","3","9","12","0","0","1","1","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","VocabularyImporter","vocabulary_importers.vocabulary_importer.VocabularyImporter~Cl","L312","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer.py","48","1","184","42","0","0","0","0","0","0","0","0","3","4","4","24","2","0","0","0","6","0.361446","60","51","0.361446","60","0","0","0","0","0","106","137","0","0","6","6","46","106","137","0","0","6","6","46","0","1","0","0","35","3","2","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","1","0"
"L381","Word2vecWikipediaVocabularyImporter","vocabulary_importers.word2vec_wikipedia_vocabulary_importer.Word2vecWikipediaVocabularyImporter~Cl","L377","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\word2vec_wikipedia_vocabulary_importer.py","12","1","53","20","0","0","0","0","0","0","0","0","3","3","1","9","0","0","0","0","3","0.320755","17","17","0.320755","17","0","0","0","0","0","36","42","0","0","3","3","16","36","42","0","0","3","3","16","0","2","0","0","4","0","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1"
