"ID","Name","LongName","Parent","McCC","CLOC","LLOC","LOC","NOS"
"L111","__init__.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/__init__.py","L110","1","0","0","1","0"
"L115","cornell_dataset_reader.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/cornell_dataset_reader.py","L110","4","17","34","48","18"
"L134","csv_dataset_reader.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/csv_dataset_reader.py","L110","4","16","33","46","17"
"L150","dataset_reader_factory.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/dataset_reader_factory.py","L110","4","19","33","46","11"
"L396","dailydialog_dataset_reader.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/dailydialog_dataset_reader.py","L110","1","2","0","0","0"
"L397","dataset_reader.py","F:/Facultate -- Master 1/Metrici software -  Final project/dataset_readers/dataset_reader.py","L110","1","8","0","0","0"
"L167","__init__.py","F:/Facultate -- Master 1/Metrici software -  Final project/speech_to_text/__init__.py","L166","1","0","0","1","0"
"L171","speech_to_text.py","F:/Facultate -- Master 1/Metrici software -  Final project/speech_to_text/speech_to_text.py","L166","3","13","33","46","14"
"L183","__init__.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/__init__.py","L182","1","0","0","1","0"
"L187","audio_profile.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/audio_profile.py","L182","1","13","27","53","9"
"L199","list_voices.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/list_voices.py","L182","3","14","16","40","11"
"L206","synthesize_file.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/synthesize_file.py","L182","1","14","46","76","0"
"L220","synthesize_text.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/synthesize_text.py","L182","1","12","42","68","0"
"L232","text_to_speech.py","F:/Facultate -- Master 1/Metrici software -  Final project/text_to_speech/text_to_speech.py","L182","1","23","21","51","9"
"L241","__init__.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/__init__.py","L240","1","0","0","1","0"
"L245","checkpoint_vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/checkpoint_vocabulary_importer.py","L240","3","21","40","53","17"
"L264","dependency_based_vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/dependency_based_vocabulary_importer.py","L240","6","19","32","43","12"
"L280","flatfile_vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/flatfile_vocabulary_importer.py","L240","3","29","42","55","13"
"L299","nnlm_en_vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/nnlm_en_vocabulary_importer.py","L240","5","19","30","41","10"
"L315","vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/vocabulary_importer.py","L240","19","85","145","184","49"
"L373","vocabulary_importer_factory.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/vocabulary_importer_factory.py","L240","3","9","18","27","6"
"L380","word2vec_wikipedia_vocabulary_importer.py","F:/Facultate -- Master 1/Metrici software -  Final project/vocabulary_importers/word2vec_wikipedia_vocabulary_importer.py","L240","7","22","41","53","16"
