"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L151","get_dataset_reader","dataset_readers.dataset_reader_factory.get_dataset_reader~Fn","L147","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\dataset_reader_factory.py","10","1","25","139","0","0","0","0","0","0","0","0","1","0","0","0","0","0.538462","7","5","0.538462","7","6","16","5","1","6","16","5","0","3","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3"
"L154","set_cornell_dataset_reader","dataset_readers.dataset_reader_factory.set_cornell_dataset_reader~Fn","L147","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\dataset_reader_factory.py","27","1","32","37","0","0","0","0","0","0","0","0","2","1","1","0","0","0.5","3","3","0.5","3","3","6","2","1","3","6","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","set_csv_dataset_reader","dataset_readers.dataset_reader_factory.set_csv_dataset_reader~Fn","L147","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\dataset_reader_factory.py","34","1","39","37","0","0","0","0","0","0","0","0","2","1","1","0","0","0.5","3","3","0.5","3","3","6","2","1","3","6","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L160","set_dialog_dataset_reader","dataset_readers.dataset_reader_factory.set_dialog_dataset_reader~Fn","L147","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\dataset_reader_factory.py","41","1","46","41","0","0","0","0","0","0","0","0","2","1","1","0","0","0.5","3","3","0.5","3","3","6","2","1","3","6","2","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","audio_speak","speech_to_text.speech_to_text.audio_speak~Fn","L168","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\speech_to_text.py","13","1","23","16","0","0","0","0","0","0","0","0","1","1","1","1","0","0.5","5","5","0.5","5","5","11","4","0","5","11","4","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","recognize_voice","speech_to_text.speech_to_text.recognize_voice~Fn","L168","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\speech_to_text.py","26","1","46","15","0","0","0","0","0","0","0","0","3","2","2","0","1","0.263158","5","5","0.263158","5","14","21","10","0","14","21","10","0","0","0","2","2","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0"
"L188","synthesize_text_with_audio_profile","text_to_speech.audio_profile.synthesize_text_with_audio_profile~Fn","L184","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\audio_profile.py","13","1","36","60","0","0","0","0","0","0","0","0","1","1","1","0","0","0.333333","6","1","0.333333","6","12","24","9","3","12","24","9","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L200","list_voices","text_to_speech.list_voices.list_voices~Fn","L196","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\list_voices.py","11","1","35","45","0","0","0","0","0","0","0","0","3","2","2","0","0","0.380952","8","1","0.380952","8","13","25","11","0","13","25","11","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","text_to_speech_recognizer","text_to_speech.text_to_speech.text_to_speech_recognizer~Fn","L229","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\text_to_speech.py","14","1","47","67","0","0","0","0","0","0","0","0","1","1","1","0","0","0.518519","14","5","0.518519","14","13","34","9","2","13","34","9","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"L374","get_vocabulary_importer","vocabulary_importers.vocabulary_importer_factory.get_vocabulary_importer~Fn","L370","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\vocabulary_importer_factory.py","10","1","27","150","0","0","0","0","0","0","0","0","3","2","2","0","0","0.4","6","5","0.4","6","9","18","6","1","9","18","6","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
