"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L119","__init__","dataset_readers.cornell_dataset_reader.CornellDatasetReader.__init__~Fn","L116","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\cornell_dataset_reader.py","11","5","16","74","0","0","0","0","0","0","0","0","1","0","0","0","0","0.666667","4","4","0.666667","4","2","6","1","1","2","6","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L124","_get_dialog_lines_and_conversations","dataset_readers.cornell_dataset_reader.CornellDatasetReader._get_dialog_lines_and_conversations~Fn","L116","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\cornell_dataset_reader.py","18","5","48","41","0","0","0","0","0","0","0","0","4","2","2","0","0","0.307692","8","5","0.307692","8","18","31","17","2","18","31","17","0","0","0","1","8","1","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1"
"L138","__init__","dataset_readers.csv_dataset_reader.CSVDatasetReader.__init__~Fn","L135","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\csv_dataset_reader.py","13","5","19","53","0","0","0","0","0","0","0","0","1","0","0","0","0","0.714286","5","4","0.714286","5","2","7","1","1","2","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L143","_get_dialog_lines_and_conversations","dataset_readers.csv_dataset_reader.CSVDatasetReader._get_dialog_lines_and_conversations~Fn","L135","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\csv_dataset_reader.py","21","5","46","41","0","0","0","0","0","0","0","0","4","2","2","0","0","0.26087","6","4","0.26087","6","17","26","16","2","17","26","16","0","0","0","0","5","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L249","__init__","vocabulary_importers.checkpoint_vocabulary_importer.CheckpointVocabularyImporter.__init__~Fn","L246","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\checkpoint_vocabulary_importer.py","14","5","28","64","0","0","0","0","0","0","0","0","1","0","0","0","0","0.692308","9","9","0.692308","9","4","15","3","4","4","15","3","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","_read_vocabulary_and_embeddings","vocabulary_importers.checkpoint_vocabulary_importer.CheckpointVocabularyImporter._read_vocabulary_and_embeddings~Fn","L246","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\checkpoint_vocabulary_importer.py","30","5","53","37","0","0","0","0","0","0","0","0","3","3","3","0","0","0.318182","7","5","0.318182","7","15","24","14","2","15","24","14","0","0","0","1","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1"
"L268","__init__","vocabulary_importers.dependency_based_vocabulary_importer.DependencyBasedVocabularyImporter.__init__~Fn","L265","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\dependency_based_vocabulary_importer.py","15","5","20","102","0","0","0","0","0","0","0","0","1","0","0","0","0","0.666667","4","4","0.666667","4","2","6","1","1","2","6","1","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","_process_token","vocabulary_importers.dependency_based_vocabulary_importer.DependencyBasedVocabularyImporter._process_token~Fn","L265","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\dependency_based_vocabulary_importer.py","22","5","43","20","0","0","0","0","0","0","0","0","6","5","1","0","0","0.4","8","8","0.4","8","12","22","11","2","12","22","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L284","__init__","vocabulary_importers.flatfile_vocabulary_importer.FlatFileVocabularyImporter.__init__~Fn","L281","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\flatfile_vocabulary_importer.py","17","5","33","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0.764706","13","11","0.764706","13","4","17","3","4","4","17","3","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","_read_vocabulary_and_embeddings","vocabulary_importers.flatfile_vocabulary_importer.FlatFileVocabularyImporter._read_vocabulary_and_embeddings~Fn","L281","L103","F:\Facultate -- Master 1\Metrici software -  Final project\vocabulary_importers\flatfile_vocabulary_importer.py","35","5","55","37","0","0","0","0","0","0","0","0","3","3","3","0","0","0.421053","8","6","0.421053","8","11","21","10","2","11","21","10","0","0","0","1","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1"
