"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","CD","CLOC","TCD","TCLOC","LLOC","LOC","NA","NCL","NM","TLLOC","TLOC","TNA","TNCL","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L105","__init__","dataset_readers.__init__~Mo","L104","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L112","cornell_dataset_reader","dataset_readers.cornell_dataset_reader~Mo","L104","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\cornell_dataset_reader.py","1","1","48","41","0","0","0","0","0","0","0","0","1","14","0.291667","14","0","0","0","1","2","34","48","0","1","2","18","0","2","0","1","10","1","1","1","0","7","0","0","0","1","0","0","0","0","0","0","2"
"L131","csv_dataset_reader","dataset_readers.csv_dataset_reader~Mo","L104","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\csv_dataset_reader.py","1","1","46","41","0","0","0","0","0","0","0","0","1","13","0.282609","13","0","0","0","1","2","33","46","0","1","2","17","0","2","0","0","7","1","1","1","0","4","0","0","0","1","0","0","0","0","0","0","1"
"L147","dataset_reader_factory","dataset_readers.dataset_reader_factory~Mo","L104","L103","F:\Facultate -- Master 1\Metrici software -  Final project\dataset_readers\dataset_reader_factory.py","1","1","46","41","0","0","0","0","0","0","0","0","1","16","0.326531","16","0","0","0","0","4","33","46","0","0","4","11","0","3","0","0","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3"
"L164","__init__","speech_to_text.__init__~Mo","L163","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","speech_to_text","speech_to_text.speech_to_text~Mo","L163","L103","F:\Facultate -- Master 1\Metrici software -  Final project\speech_to_text\speech_to_text.py","1","1","46","15","0","0","0","0","0","0","0","0","1","10","0.232558","10","0","0","0","0","2","33","46","0","0","2","14","0","0","0","2","5","2","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0"
"L180","__init__","text_to_speech.__init__~Mo","L179","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","audio_profile","text_to_speech.audio_profile~Mo","L179","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\audio_profile.py","1","1","53","63","0","0","0","0","0","0","0","0","1","7","0.205882","7","0","0","0","0","1","27","53","0","0","1","9","0","0","0","0","6","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"L196","list_voices","text_to_speech.list_voices~Mo","L179","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\list_voices.py","1","1","40","17","0","0","0","0","0","0","0","0","1","9","0.36","9","0","0","0","0","1","16","40","0","0","1","11","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"L203","synthesize_file","text_to_speech.synthesize_file~Mo","L179","L103","F:\Facultate -- Master 1\Metrici software -  Final project\text_to_speech\synthesize_file.py","1","1","76","63","0","0","0","0","0","0","0","0","1","8","0.148148","8","0","0","0","0","0","46","76","0","0","0","0","0","2","0","1","17","16","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2"
