"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L212","_logger","speech_to_text.speech_to_text._logger~At","L208","L103","E:\workspace_niki\seq_2_seq\speech_to_text\speech_to_text.py","9","1","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L213","_recognizer","speech_to_text.speech_to_text._recognizer~At","L208","L103","E:\workspace_niki\seq_2_seq\speech_to_text\speech_to_text.py","10","1","10","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","parser","text_to_speech.audio_profile.parser~At","L223","L103","E:\workspace_niki\seq_2_seq\text_to_speech\audio_profile.py","40","5","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","args","text_to_speech.audio_profile.args~At","L223","L103","E:\workspace_niki\seq_2_seq\text_to_speech\audio_profile.py","50","5","50","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L252","parser","text_to_speech.synthesize_file.parser~At","L242","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","74","5","74","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","group","text_to_speech.synthesize_file.group~At","L242","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","77","5","77","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L254","args","text_to_speech.synthesize_file.args~At","L242","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","83","5","83","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267","parser","text_to_speech.synthesize_text.parser~At","L257","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","72","5","72","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","group","text_to_speech.synthesize_text.group~At","L257","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","75","5","75","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","args","text_to_speech.synthesize_text.args~At","L257","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","81","5","81","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L358","External","vocabulary_importers.vocabulary_importer.VocabularyImportMode.External~At","L355","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","28","5","28","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L359","ExternalIntersectDataset","vocabulary_importers.vocabulary_importer.VocabularyImportMode.ExternalIntersectDataset~At","L355","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","29","5","29","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L360","ExternalUnionDataset","vocabulary_importers.vocabulary_importer.VocabularyImportMode.ExternalUnionDataset~At","L355","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","30","5","30","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","Dataset","vocabulary_importers.vocabulary_importer.VocabularyImportMode.Dataset~At","L355","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","31","5","31","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
