"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","CD","CLOC","DLOC","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NLA","NLM","NM","NOS","TLLOC","TLOC","TNA","TNLA","TNLM","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Inheritance Metric Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L116","CornellDatasetReader","dataset_readers.cornell_dataset_reader.CornellDatasetReader~Cl","L112","L103","E:\workspace_niki\seq_2_seq\dataset_readers\cornell_dataset_reader.py","8","1","44","41","0","0","0","0","0","0","0","0","2","2","2","5","0","0","0","0","2","0.277778","10","7","0.277778","10","0","0","0","0","0","26","37","0","0","2","2","18","26","37","0","0","2","2","18","0","0","3","1","8","0","0","0","1","0","0","1","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L134","CSVDatasetReader","dataset_readers.csv_dataset_reader.CSVDatasetReader~Cl","L130","L103","E:\workspace_niki\seq_2_seq\dataset_readers\csv_dataset_reader.py","10","1","41","41","0","0","0","0","0","0","0","0","2","2","2","5","0","0","0","0","2","0.25","8","6","0.25","8","0","0","0","0","0","24","32","0","0","2","2","17","24","32","0","0","2","2","17","0","0","3","0","5","0","0","0","1","0","0","1","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L149","DatasetReadStats","dataset_readers.dataset_reader.DatasetReadStats~Cl","L145","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","13","1","19","50","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0.333333","2","2","0.333333","2","0","0","0","0","0","4","7","0","0","1","1","2","4","7","0","0","1","1","2","0","0","2","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","DatasetReader","dataset_readers.dataset_reader.DatasetReader~Cl","L145","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","22","1","219","32","0","0","0","0","0","0","0","0","2","3","3","30","1","0","0","0","5","0.294606","71","64","0.294606","71","0","0","0","0","0","170","198","0","0","5","5","69","170","198","0","0","5","5","69","0","0","6","1","47","1","2","0","1","1","0","5","0","0","39","0","0","0","0","0","0","4","0","0","0","0","0","1"
"L289","CheckpointVocabularyImporter","vocabulary_importers.checkpoint_vocabulary_importer.CheckpointVocabularyImporter~Cl","L285","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\checkpoint_vocabulary_importer.py","10","1","53","37","0.153409","1","1","1","0.340909","0.185185","15","5","2","3","3","4","0","0","0","0","2","0.209302","9","7","0.209302","9","0","0","0","0","0","34","44","0","0","2","2","18","34","44","0","0","2","2","18","0","0","15","2","7","0","1","10","1","0","0","1","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L307","DependencyBasedVocabularyImporter","vocabulary_importers.dependency_based_vocabulary_importer.DependencyBasedVocabularyImporter~Cl","L303","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\dependency_based_vocabulary_importer.py","12","1","39","20","0","0","0","0","0","0","0","0","2","5","1","7","0","0","0","0","2","0.30303","10","10","0.30303","10","0","0","0","0","0","23","28","0","0","2","2","12","23","28","0","0","2","2","12","0","0","3","0","3","0","0","0","1","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L322","FlatFileVocabularyImporter","vocabulary_importers.flatfile_vocabulary_importer.FlatFileVocabularyImporter~Cl","L318","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\flatfile_vocabulary_importer.py","10","1","49","37","0.194245","1","1","1","0.425","0.238095","17","5","2","3","3","4","0","0","0","0","2","0.179487","7","7","0.179487","7","0","0","0","0","0","32","40","0","0","2","2","14","32","40","0","0","2","2","14","0","0","16","2","7","0","1","11","1","0","0","1","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L340","NnlmEnVocabularyImporter","vocabulary_importers.nnlm_en_vocabulary_importer.NnlmEnVocabularyImporter~Cl","L336","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\nnlm_en_vocabulary_importer.py","12","1","37","20","0","0","0","0","0","0","0","0","2","4","1","6","0","0","0","0","2","0.322581","10","10","0.322581","10","0","0","0","0","0","21","26","0","0","2","2","10","21","26","0","0","2","2","10","0","0","3","0","2","0","0","0","1","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L355","VocabularyImportMode","vocabulary_importers.vocabulary_importer.VocabularyImportMode~Cl","L351","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","11","1","31","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.761905","16","16","0.761905","16","0","0","0","0","0","5","21","4","4","0","0","0","5","21","4","4","0","0","0","0","0","0","1","12","0","1","0","0","0","0","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L362","VocabularyImportStats","vocabulary_importers.vocabulary_importer.VocabularyImportStats~Cl","L351","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer.py","34","1","41","37","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0.285714","2","2","0.285714","2","0","0","0","0","0","5","8","0","0","1","1","3","5","8","0","0","1","1","3","0","0","2","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
