"ID","Name","LongName","Parent","McCC","CLOC","LLOC","LOC","NOS"
"L111","__init__.py","E:/workspace_niki/seq_2_seq/dataset_readers/__init__.py","L110","1","0","0","1","0"
"L115","cornell_dataset_reader.py","E:/workspace_niki/seq_2_seq/dataset_readers/cornell_dataset_reader.py","L110","4","13","30","44","18"
"L133","csv_dataset_reader.py","E:/workspace_niki/seq_2_seq/dataset_readers/csv_dataset_reader.py","L110","4","11","29","41","17"
"L148","dataset_reader.py","E:/workspace_niki/seq_2_seq/dataset_readers/dataset_reader.py","L110","26","76","184","219","71"
"L199","dataset_reader_factory.py","E:/workspace_niki/seq_2_seq/dataset_readers/dataset_reader_factory.py","L110","3","9","16","25","6"
"L423","dailydialog_dataset_reader.py","E:/workspace_niki/seq_2_seq/dataset_readers/dailydialog_dataset_reader.py","L110","1","2","0","0","0"
"L207","__init__.py","E:/workspace_niki/seq_2_seq/speech_to_text/__init__.py","L206","1","0","0","1","0"
"L211","speech_to_text.py","E:/workspace_niki/seq_2_seq/speech_to_text/speech_to_text.py","L206","3","8","28","41","14"
"L222","__init__.py","E:/workspace_niki/seq_2_seq/text_to_speech/__init__.py","L221","1","0","0","1","0"
"L226","audio_profile.py","E:/workspace_niki/seq_2_seq/text_to_speech/audio_profile.py","L221","1","13","27","53","9"
"L238","list_voices.py","E:/workspace_niki/seq_2_seq/text_to_speech/list_voices.py","L221","3","14","16","40","11"
"L245","synthesize_file.py","E:/workspace_niki/seq_2_seq/text_to_speech/synthesize_file.py","L221","1","23","51","88","22"
"L260","synthesize_text.py","E:/workspace_niki/seq_2_seq/text_to_speech/synthesize_text.py","L221","1","25","49","86","18"
"L275","text_to_speech.py","E:/workspace_niki/seq_2_seq/text_to_speech/text_to_speech.py","L221","1","23","21","51","9"
"L284","__init__.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/__init__.py","L283","1","0","0","1","0"
"L288","checkpoint_vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/checkpoint_vocabulary_importer.py","L283","3","12","40","53","18"
"L306","dependency_based_vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/dependency_based_vocabulary_importer.py","L283","6","15","28","39","12"
"L321","flatfile_vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/flatfile_vocabulary_importer.py","L283","3","10","38","49","14"
"L339","nnlm_en_vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/nnlm_en_vocabulary_importer.py","L283","5","15","26","37","10"
"L354","vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/vocabulary_importer.py","L283","19","77","135","172","48"
"L404","vocabulary_importer_factory.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/vocabulary_importer_factory.py","L283","3","9","18","27","6"
"L411","word2vec_wikipedia_vocabulary_importer.py","E:/workspace_niki/seq_2_seq/vocabulary_importers/word2vec_wikipedia_vocabulary_importer.py","L283","7","15","30","41","14"
