"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L200","get_dataset_reader","dataset_readers.dataset_reader_factory.get_dataset_reader~Fn","L196","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader_factory.py","10","1","25","139","1","1","3","1","1","1","16","10","3","2","2","0","0","0.461538","6","5","0.461538","6","7","16","6","1","7","16","6","0","0","7","0","2","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","audio_speak","speech_to_text.speech_to_text.audio_speak~Fn","L208","L103","E:\workspace_niki\seq_2_seq\speech_to_text\speech_to_text.py","13","1","18","16","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","5","6","4","0","5","6","4","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","recognize_voice","speech_to_text.speech_to_text.recognize_voice~Fn","L208","L103","E:\workspace_niki\seq_2_seq\speech_to_text\speech_to_text.py","21","1","41","15","0","0","0","0","0","0","0","0","3","2","2","0","1","0.263158","5","5","0.263158","5","14","21","10","0","14","21","10","0","0","0","2","2","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0"
"L227","synthesize_text_with_audio_profile","text_to_speech.audio_profile.synthesize_text_with_audio_profile~Fn","L223","L103","E:\workspace_niki\seq_2_seq\text_to_speech\audio_profile.py","13","1","36","60","0","0","0","0","0","0","0","0","1","1","1","0","0","0.333333","6","1","0.333333","6","12","24","9","3","12","24","9","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","list_voices","text_to_speech.list_voices.list_voices~Fn","L235","L103","E:\workspace_niki\seq_2_seq\text_to_speech\list_voices.py","11","1","35","45","0","0","0","0","0","0","0","0","3","2","2","0","0","0.380952","8","1","0.380952","8","13","25","11","0","13","25","11","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L246","synthesize_text_file","text_to_speech.synthesize_file.synthesize_text_file~Fn","L242","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","14","1","37","59","1","2","2","2","1","1","24","19","1","1","1","0","0","0.25","5","1","0.25","5","15","24","11","1","15","24","11","0","0","7","0","2","1","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L249","synthesize_ssml_file","text_to_speech.synthesize_file.synthesize_ssml_file~Fn","L242","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","42","1","69","59","1","2","2","2","1","1","28","20","1","1","1","0","0","0.4","10","5","0.4","10","15","28","11","1","15","28","11","0","0","7","0","2","1","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","synthesize_text","text_to_speech.synthesize_text.synthesize_text~Fn","L257","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","14","1","35","59","1","2","2","2","1","1","22","17","1","1","1","0","0","0.277778","5","1","0.277778","5","13","22","9","1","13","22","9","0","0","7","0","1","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L264","synthesize_ssml","text_to_speech.synthesize_text.synthesize_ssml~Fn","L257","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","40","1","67","59","1","2","2","2","1","1","28","18","1","1","1","0","0","0.48","12","7","0.48","12","13","28","9","1","13","28","9","0","0","7","0","1","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","text_to_speech_recognizer","text_to_speech.text_to_speech.text_to_speech_recognizer~Fn","L272","L103","E:\workspace_niki\seq_2_seq\text_to_speech\text_to_speech.py","14","1","47","67","0","0","0","0","0","0","0","0","1","1","1","0","0","0.518519","14","5","0.518519","14","13","34","9","2","13","34","9","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"L405","get_vocabulary_importer","vocabulary_importers.vocabulary_importer_factory.get_vocabulary_importer~Fn","L401","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\vocabulary_importer_factory.py","10","1","27","150","1","1","3","1","1","1","18","12","3","2","2","0","0","0.4","6","5","0.4","6","9","18","6","1","9","18","6","0","0","7","0","2","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
