"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L119","__init__","dataset_readers.cornell_dataset_reader.CornellDatasetReader.__init__~Fn","L116","L103","E:\workspace_niki\seq_2_seq\dataset_readers\cornell_dataset_reader.py","11","5","12","74","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","1","1","2","2","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L123","_get_dialog_lines_and_conversations","dataset_readers.cornell_dataset_reader.CornellDatasetReader._get_dialog_lines_and_conversations~Fn","L116","L103","E:\workspace_niki\seq_2_seq\dataset_readers\cornell_dataset_reader.py","14","5","44","41","0","0","0","0","0","0","0","0","4","2","2","0","0","0.307692","8","5","0.307692","8","18","31","17","2","18","31","17","0","0","0","1","6","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1"
"L137","__init__","dataset_readers.csv_dataset_reader.CSVDatasetReader.__init__~Fn","L134","L103","E:\workspace_niki\seq_2_seq\dataset_readers\csv_dataset_reader.py","13","5","14","53","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","1","1","2","2","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","_get_dialog_lines_and_conversations","dataset_readers.csv_dataset_reader.CSVDatasetReader._get_dialog_lines_and_conversations~Fn","L134","L103","E:\workspace_niki\seq_2_seq\dataset_readers\csv_dataset_reader.py","16","5","41","41","0","0","0","0","0","0","0","0","4","2","2","0","0","0.26087","6","4","0.26087","6","17","26","16","2","17","26","16","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L152","__init__","dataset_readers.dataset_reader.DatasetReadStats.__init__~Fn","L149","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","17","5","19","50","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","2","1","3","3","2","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L159","__init__","dataset_readers.dataset_reader.DatasetReader.__init__~Fn","L156","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","26","5","32","40","0","0","0","0","0","0","0","0","1","0","0","0","0","0.714286","5","5","0.714286","5","2","7","1","2","2","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L165","_get_dialog_lines_and_conversations","dataset_readers.dataset_reader.DatasetReader._get_dialog_lines_and_conversations~Fn","L156","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","34","5","44","12","0","0","0","0","0","0","0","0","1","0","0","1","0","0.727273","8","8","0.727273","8","3","11","1","2","3","11","1","0","0","0","0","3","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","read_dataset","dataset_readers.dataset_reader.DatasetReader.read_dataset~Fn","L156","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","46","5","167","34","0","0","0","0","0","0","0","0","21","3","3","0","3","0.3","33","26","0.3","33","77","122","48","7","77","122","48","0","0","4","0","32","0","0","0","1","0","3","0","0","29","0","0","0","0","0","3","0","0","0","0","0","0"
"L179","_create_and_save_vocab","dataset_readers.dataset_reader.DatasetReader._create_and_save_vocab~Fn","L156","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","169","5","210","50","0","0","0","0","0","0","0","0","5","2","2","1","0","0.525","21","21","0.525","21","19","42","14","8","19","42","14","0","0","1","0","10","0","1","0","0","0","1","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0"
"L181","_log_cleaned_dataset","dataset_readers.dataset_reader.DatasetReader._log_cleaned_dataset~Fn","L156","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","212","5","219","32","0","0","0","0","0","0","0","0","2","2","2","1","0","0.25","2","2","0.25","2","6","8","5","3","6","8","5","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L292","__init__","vocabulary_importers.checkpoint_vocabulary_importer.CheckpointVocabularyImporter.__init__~Fn","L289","L103","E:\workspace_niki\seq_2_seq\vocabulary_importers\checkpoint_vocabulary_importer.py","14","5","28","64","1","1","1","1","1","1","15","5","1","0","0","0","0","0","0","0","0","0","13","15","4","4","13","15","4","0","0","7","0","2","0","0","5","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
