"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","CD","CLOC","TCD","TCLOC","LLOC","LOC","NA","NCL","NM","TLLOC","TLOC","TNA","TNCL","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Design Rules","Exception Rules","Format Rules","Import Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L105","__init__","dataset_readers.__init__~Mo","L104","L103","E:\workspace_niki\seq_2_seq\dataset_readers\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L112","cornell_dataset_reader","dataset_readers.cornell_dataset_reader~Mo","L104","L103","E:\workspace_niki\seq_2_seq\dataset_readers\cornell_dataset_reader.py","1","1","44","41","0","0","0","0","0","0","0","0","1","10","0.25","10","0","0","0","1","2","30","44","0","1","2","18","0","0","3","1","8","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","1"
"L130","csv_dataset_reader","dataset_readers.csv_dataset_reader~Mo","L104","L103","E:\workspace_niki\seq_2_seq\dataset_readers\csv_dataset_reader.py","1","1","41","41","0","0","0","0","0","0","0","0","1","8","0.216216","8","0","0","0","1","2","29","41","0","1","2","17","0","0","3","0","5","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0"
"L145","dataset_reader","dataset_readers.dataset_reader~Mo","L104","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader.py","1","1","219","32","0","0","0","0","0","0","0","0","1","73","0.284047","73","0","0","0","2","6","184","219","0","2","6","71","0","0","8","1","48","1","2","6","0","39","0","0","0","0","0","0","0","0","0","0","1"
"L196","dataset_reader_factory","dataset_readers.dataset_reader_factory~Mo","L104","L103","E:\workspace_niki\seq_2_seq\dataset_readers\dataset_reader_factory.py","1","1","25","139","0.84375","1","3","1","0.64","0.625","16","10","1","6","0.272727","6","0","0","0","0","1","16","25","0","0","1","6","0","0","7","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"L204","__init__","speech_to_text.__init__~Mo","L203","L103","E:\workspace_niki\seq_2_seq\speech_to_text\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","speech_to_text","speech_to_text.speech_to_text~Mo","L203","L103","E:\workspace_niki\seq_2_seq\speech_to_text\speech_to_text.py","1","1","41","15","0","0","0","0","0","0","0","0","1","5","0.151515","5","0","0","0","0","2","28","41","0","0","2","14","0","0","2","2","5","3","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0"
"L219","__init__","text_to_speech.__init__~Mo","L218","L103","E:\workspace_niki\seq_2_seq\text_to_speech\__init__.py","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","audio_profile","text_to_speech.audio_profile~Mo","L218","L103","E:\workspace_niki\seq_2_seq\text_to_speech\audio_profile.py","1","1","53","63","0","0","0","0","0","0","0","0","1","7","0.205882","7","0","0","0","0","1","27","53","0","0","1","9","0","0","0","0","6","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"L235","list_voices","text_to_speech.list_voices~Mo","L218","L103","E:\workspace_niki\seq_2_seq\text_to_speech\list_voices.py","1","1","40","17","0","0","0","0","0","0","0","0","1","9","0.36","9","0","0","0","0","1","16","40","0","0","1","11","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"L242","synthesize_file","text_to_speech.synthesize_file~Mo","L218","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_file.py","1","1","88","39","0.732733","2","4","4","0.590909","0.65","52","39","1","17","0.25","17","0","0","0","0","2","51","88","0","0","2","22","0","0","14","0","7","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"L257","synthesize_text","text_to_speech.synthesize_text~Mo","L218","L103","E:\workspace_niki\seq_2_seq\text_to_speech\synthesize_text.py","1","1","86","34","0.700337","2","4","4","0.581395","0.625","50","35","1","19","0.279412","19","0","0","0","0","2","49","86","0","0","2","18","0","0","14","0","5","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
